Track;Driver;Best lap (ms);Place;Avg Lap (formatted);Pace Rank;Position Rank;Overall Score;Overall Rank
watkins_glen;Mark Browning;105465.0;9;1:45.465;20.0;46.0;33.0;36.0
watkins_glen;R InocentPredator;106760.85714285714;3;1:46.761;39.0;28.0;33.5;37.0
watkins_glen;Ant ANT MCVITTIE;106408.0;5;1:46.408;35.0;35.0;35.0;38.0
watkins_glen;F FRANCO;106109.0;7;1:46.109;31.0;39.0;35.0;38.0
watkins_glen;P PEDROTOME;107151.75;3;1:47.152;43.0;28.0;35.5;40.0
watkins_glen;M MaD MAR350;110357.5;2;1:50.358;49.0;23.0;36.0;41.0
watkins_glen;T xI Sodii Ix;110470.5;2;1:50.471;50.0;23.0;36.5;42.0
watkins_glen;Brian Koolaid;106197.0;8;1:46.197;32.0;42.0;37.0;43.0
watkins_glen;R DADDY;106331.0;8;1:46.331;34.0;42.0;38.0;44.0
watkins_glen;G GAZZMC;106008.0;11;1:46.008;30.0;49.0;39.5;45.0
watkins_glen;Alex BaysideSnake1;111457.33333333333;3;1:51.457;52.0;28.0;40.0;46.0
watkins_glen;R YHWH144000;108860.0;5;1:48.860;48.0;35.0;41.5;47.0
watkins_glen;J BASSO;106424.0;10;1:46.424;36.0;48.0;42.0;48.0
watkins_glen;JON Geeeeeeez;106429.0;15;1:46.429;37.0;53.0;45.0;49.0
watkins_glen;R RMEB 6184;112551.0;6;1:52.551;53.0;38.0;45.5;50.0
watkins_glen;Sean PRAWNSTAR;106878.0;12;1:46.878;41.0;50.0;45.5;50.0
watkins_glen;R Sexton;106659.66666666667;16;1:46.660;38.0;54.0;46.0;52.0
watkins_glen;David WEKFEST;107559.5;13;1:47.559;46.0;52.0;49.0;53.0
watkins_glen;R Sabio;107418.0;17;1:47.418;45.0;55.0;50.0;54.0
watkins_glen;M BIENIEK;182175.66666666666;12;3:02.176;55.0;50.0;52.5;55.0
zandvoort;B BadBen80;106480.33333333333;1;1:46.480;1.0;1.0;1.0;1.0
zandvoort;M2535453432622651;106723.0;1;1:46.723;2.0;1.0;1.5;2.0
zandvoort;J FebrexPT;107234.0;1;1:47.234;3.0;1.0;2.0;3.0
zandvoort;L Dr Flexi Jerkov;107517.36363636363;1;1:47.517;4.0;1.0;2.5;4.0
zandvoort;Jay JAY RUGE;108421.0;1;1:48.421;7.0;1.0;4.0;5.0
zandvoort;George Dodood;109211.2;1;1:49.211;8.0;1.0;4.5;6.0
zandvoort;R InocentPredator;111255.92857142857;1;1:51.256;9.0;1.0;5.0;7.0
zandvoort;M MaD MAR350;107876.0;2;1:47.876;5.0;8.0;6.5;8.0
zandvoort;Sean BoAPrawnStar;108030.0;6;1:48.030;6.0;9.0;7.5;9.0
zolder;B BadBen80;89901.33333333333;1;1:29.901;1.0;1.0;1.0;1.0
zolder;Ant ANT MCVITTIE;90264.85714285714;1;1:30.265;2.0;1.0;1.5;2.0
zolder;George Dodood;90394.33333333333;1;1:30.394;3.0;1.0;2.0;3.0
zolder;M BoA MIGRUN;90477.85714285714;1;1:30.478;5.0;1.0;3.0;4.0
zolder;J FebrexPT;90915.33333333333;1;1:30.915;7.0;1.0;4.0;5.0
zolder;P Mr Sipex;91000.72727272728;1;1:31.001;8.0;1.0;4.5;6.0
zolder;M MaD MAR350;90439.83333333333;2;1:30.440;4.0;8.0;6.0;7.0
zolder;F Franco#6938;90733.0;2;1:30.733;6.0;8.0;7.0;8.0
zolder;JON J0N G10;92151.0;1;1:32.151;14.0;1.0;7.5;9.0
zolder;R BoA Diamond;91102.875;2;1:31.103;10.0;8.0;9.0;10.0
zolder;Brian BoA KoolAid;91035.42857142857;5;1:31.035;9.0;13.0;11.0;11.0
zolder;Sean BoAPrawnStar;91282.33333333333;3;1:31.282;12.0;11.0;11.5;12.0
zolder;Alex BaysideSnake1;91840.8;4;1:31.841;13.0;12.0;12.5;13.0
zolder;J BoA Basso;91273.2;8;1:31.273;11.0;14.0;12.5;13.0
zolder;R RMEB 6184;94533.0;8;1:34.533;15.0;14.0;14.5;15.0
zolder;R InocentPredator;94979.75;9;1:34.980;16.0;16.0;16.0;16.0
