Place;FirstName;LastName;Car Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId;Track;Place,FirstName,LastName,Class,Car Number,Car,Car Model,Laps,Best S1,Best S2,Best S3,Best lap,Best lap (ms),Ideal Best lap,Total Race Time,Lap Date,SteamId
0.0;Nick;Efdee;Pro;23.0;Ferrari 296 GT3;32.0;28.0;27.018;49.335;50.145;02:06.645;126645.0;02:06.498;59:06.060;2025-05-25;M2533274876472342;Cota;
0.0;Zack;Gross;Am/reserve;27.0;Porsche 992 GT3 R;34.0;28.0;26.895;49.281;50.415;02:06.888;126888.0;02:06.591;59:12.864;2025-05-25;M2535430534227760;Cota;
0.0;Benjamin;Matthew;Unknown;42.0;Ferrari 296 GT3;32.0;28.0;26.91;49.587;50.532;02:07.185;127185.0;02:07.029;59:21.180;2025-05-25;M2535456990131789;Cota;
0.0;Ben;Jones;Pro;80.0;BMW M4 GT3 2022;26.0;28.0;26.807;49.177;50.56;02:06.617;126617.0;02:06.544;59:05.276;2025-05-25;M2562092466593675;Cota;
0.0;Jesper;Beiboer;Am/reserve;15.0;Ferrari 296 GT3;32.0;28.0;26.847;49.554;50.478;02:07.287;127287.0;02:06.879;59:24.036;2025-05-25;M2535465743812802;Cota;
0.0;Rob;Sexton;Pro;13.0;BMW M4 GT3 2022;26.0;28.0;26.875;49.755;51.092;02:07.817;127817.0;02:07.722;59:38.876;2025-05-25;M2533274809212122;Cota;
0.0;Mark;Stapely;Silver;142.0;McLaren 720S GT3 Evo;35.0;28.0;26.977;49.815;50.877;02:08.307;128307.0;02:07.669;59:52.596;2025-05-25;M2533274804293173;Cota;
0.0;Dustin;Hatcher;Am/reserve;777.0;Ferrari 296 GT3;32.0;28.0;26.955;49.515;50.745;02:07.275;127275.0;02:07.215;59:23.700;2025-05-25;M2533274853814129;Cota;
0.0;Brian;Slater;Pro;20.0;Ford Mustang GT3;36.0;28.0;26.832;49.407;51.273;02:07.941;127941.0;02:07.512;59:42.348;2025-05-25;M2533274804593068;Cota;
0.0;Richard;Huxley;Am/reserve;89.0;Ferrari 296 GT3;32.0;28.0;27.033;49.8;50.895;02:08.043;128043.0;02:07.728;59:45.204;2025-05-25;M2535454029768367;Cota;
0.0;Sean;Briggs;Pro;88.0;Mercedes AMG GT3 2020;25.0;28.0;27.007;49.672;51.065;02:08.275;128275.0;02:07.744;59:51.700;2025-05-25;M2535426324983035;Cota;
0.0;Mark;Browning;Pro;7.0;Ferrari 296 GT3;32.0;28.0;27.055;49.48;50.58;02:07.397;127397.0;02:07.115;59:27.116;2025-05-25;M2533274796566438;Cota;
0.0;Rey;Sabio Jr;Silver;144.0;Ferrari 296 GT3;32.0;28.0;27.231;50.061;51.465;02:09.021;129021.0;02:08.757;60:12.588;2025-05-25;M2535464171877570;Cota;
0.0;Craig;Barfield;Am/reserve;202.0;BMW M4 GT3 2022;26.0;27.0;27.092;50.217;51.912;02:09.702;129702.0;02:09.221;58:21.954;2025-05-25;P6555717445734582767;Cota;
0.0;Ricardo;Garcia;Am/reserve;46.0;Ferrari 296 GT3;32.0;27.0;27.165;49.857;50.987;02:08.235;128235.0;02:08.009;57:42.345;2025-05-25;M2533274823895089;Cota;
0.0;Andrew;Mcvittie;Pro;116.0;Aston Martin Vantage V8 2019;20.0;27.0;26.815;49.32;50.595;02:07.110;127110.0;02:06.730;57:11.970;2025-05-25;M2533274896948119;Cota;
0.0;John;Guise;Pro;10.0;Mercedes AMG GT3 2020;25.0;27.0;27.177;50.196;50.853;02:08.736;128736.0;02:08.226;57:55.872;2025-05-25;M2533274803882798;Cota;
0.0;James;Roche;Am/reserve;87.0;Aston Martin Vantage V8 2019;20.0;27.0;27.171;50.652;51.795;02:10.155;130155.0;02:09.618;58:34.185;2025-05-25;M2535428335198107;Cota;
0.0;Luke;Lodge;Unknown;69.0;Mercedes AMG GT3 2020;25.0;19.0;26.877;49.311;50.277;02:06.810;126810.0;02:06.465;40:09.390;2025-05-25;M2535460166046909;Cota;
0.0;Adam;Lovell;Am/reserve;260.0;Ford Mustang GT3;36.0;15.0;26.841;50.091;52.746;02:10.485;130485.0;02:09.678;32:37.275;2025-05-25;M2535468859834853;Cota;
0.0;;AMS DR1VE;Am/reserve;33.0;Ginetta G55 GT4;56.0;21.0;40.36;41.4;31.532;01:53.520;113520.0;01:53.292;39:43.920;2025-04-30;M2535459005860319;Hungaroring;
0.0;;BadBen80;Pro;80.0;Ginetta G55 GT4;56.0;21.0;40.257;41.285;31.557;01:53.457;113457.0;01:53.099;39:42.597;2025-04-30;M2562092466593675;Hungaroring;
0.0;;Tos F;Unknown;747.0;Ginetta G55 GT4;56.0;21.0;40.332;41.437;31.595;01:53.680;113680.0;01:53.364;39:47.280;2025-04-30;M2533274825104371;Hungaroring;
0.0;;TAAT GUNA;Unknown;17.0;Ginetta G55 GT4;56.0;21.0;40.415;41.77;31.792;01:54.152;114152.0;01:53.977;39:57.192;2025-04-30;M2533274817407265;Hungaroring;
0.0;;Imagine Sphax;Pro;24.0;Ginetta G55 GT4;56.0;21.0;40.665;41.694;31.626;01:54.117;114117.0;01:53.985;39:56.457;2025-04-30;M2533274876472342;Hungaroring;
0.0;;Racingrich#2732;Am/reserve;89.0;Ginetta G55 GT4;56.0;21.0;40.539;41.883;31.59;01:54.543;114543.0;01:54.012;40:05.403;2025-04-30;M2535454029768367;Hungaroring;
0.0;;CT08 #4634;Am/reserve;8.0;Ginetta G55 GT4;56.0;21.0;40.427;41.82;31.722;01:54.297;114297.0;01:53.969;40:00.237;2025-04-30;M2535422371678774;Hungaroring;
0.0;;BoAPrawnStar;Pro;103.0;Ginetta G55 GT4;56.0;21.0;40.67;41.777;31.865;01:54.725;114725.0;01:54.312;40:09.225;2025-04-30;M2535426324983035;Hungaroring;
0.0;;KingWise76;Silver;144.0;Ginetta G55 GT4;56.0;21.0;40.95;42.39;32.163;01:55.692;115692.0;01:55.503;40:29.532;2025-04-30;M2535464171877570;Hungaroring;
0.0;;T1GZ81Honda;Am/reserve;23.0;Ginetta G55 GT4;56.0;20.0;41.157;42.465;32.412;01:57.006;117006.0;01:56.034;39:00.120;2025-04-30;M2535421862963748;Hungaroring;
0.0;;Thebadden#6350;Am/reserve;260.0;Ginetta G55 GT4;56.0;12.0;40.998;42.624;32.232;01:56.262;116262.0;01:55.854;23:15.144;2025-04-30;M2535468859834853;Hungaroring;
0.0;;BoA Freaky;Unknown;41.0;Ginetta G55 GT4;56.0;11.0;40.935;42.63;32.205;01:56.265;116265.0;01:55.770;21:18.915;2025-04-30;M2535459396515943;Hungaroring;
0.0;;GXL Hallam04;Am/reserve;240.0;Ginetta G55 GT4;56.0;4.0;40.95;43.89;32.709;01:57.549;117549.0;01:57.549;07:50.196;2025-04-30;M2535429463915836;Hungaroring;
